City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind_Speed,date
Lagoa,PT,39.05,-27.9833,20.37,75,100,7.54,1630898843
Qaanaaq,GL,77.484,-69.3632,-7.47,86,98,0.94,1630898844
Nome,US,64.5011,-165.4064,8.04,87,90,3.09,1630898844
Faya,SA,18.3851,42.4509,15.29,47,9,0.96,1630898844
Albany,US,42.6001,-73.9662,17.95,93,100,1.34,1630898681
New Norfolk,AU,-42.7826,147.0587,12.46,59,12,4.02,1630898845
Chapais,CA,49.7834,-74.8492,12.88,96,13,1.8,1630898845
Paso de los Toros,UY,-32.8167,-56.5167,14.2,87,100,4.57,1630898846
Bluff,NZ,-46.6,168.3333,14.89,57,100,7.0,1630898846
San Patricio,US,28.017,-97.5169,28.16,63,38,4.43,1630898847
Cape Town,ZA,-33.9258,18.4232,7.23,93,40,1.54,1630898563
Port Macquarie,AU,-31.4333,152.9167,18.98,39,3,7.52,1630898847
Busselton,AU,-33.65,115.3333,21.69,54,0,7.08,1630898847
Rikitea,PF,-23.1203,-134.9692,23.53,76,100,4.19,1630898581
Kapaa,US,22.0752,-159.319,25.52,71,75,0.89,1630898848
Arrondissement de Dole,FR,47.0833,5.5,12.96,94,0,1.03,1630898848
Magadan,RU,59.5667,150.8,10.62,36,1,4.92,1630898849
Ribeira Grande,PT,38.5167,-28.7,20.66,76,93,7.34,1630898849
Burnie,AU,-41.0667,145.9167,16.62,49,17,5.59,1630898850
Ushuaia,AR,-54.8,-68.3,6.81,70,0,0.0,1630898850
Pevek,RU,69.7008,170.3133,0.62,92,100,7.64,1630898850
Saint-Philippe,RE,-21.3585,55.7679,19.14,77,93,7.39,1630898851
Ponta do Sol,PT,32.6667,-17.1,23.62,92,56,4.5,1630898851
Cap Malheureux,MU,-19.9842,57.6142,21.37,69,46,5.36,1630898851
East London,ZA,-33.0153,27.9116,14.52,77,0,6.69,1630898852
Avarua,CK,-21.2078,-159.775,24.03,78,75,6.17,1630898755
Belyy Yar,RU,53.6039,91.3903,12.94,67,0,1.0,1630898852
San Ignacio Río Muerto,MX,27.4167,-110.2333,26.94,79,100,3.69,1630898852
Port Alfred,ZA,-33.5906,26.891,14.93,73,100,7.32,1630898853
Atuona,PF,-9.8,-139.0333,25.65,74,9,8.79,1630898853
Fairbanks,US,64.8378,-147.7164,10.58,81,90,0.45,1630898813
Dahuk,IQ,36.8695,42.994,23.99,24,0,2.34,1630898854
Castro,BR,-24.7911,-50.0119,15.61,57,0,1.1,1630898854
Hong Kong,HK,22.2855,114.1577,32.8,73,18,4.33,1630898854
Torbay,CA,47.6666,-52.7314,10.17,92,90,4.12,1630898855
Terme,TR,41.2092,36.9739,16.96,83,95,2.77,1630898855
Birao,CF,10.2849,22.7882,20.22,97,100,0.94,1630898855
Barrow,US,71.2906,-156.7887,4.01,75,40,4.63,1630898572
Palín,GT,14.4056,-90.6983,21.26,91,96,1.16,1630898856
Butaritari,KI,3.0707,172.7902,27.84,78,66,6.57,1630898856
Port Moresby,PG,-9.4431,147.1797,30.68,58,40,10.29,1630898619
Ahipara,NZ,-35.1667,173.1667,15.84,69,94,6.05,1630898857
Dikson,RU,73.5069,80.5464,7.77,90,15,7.78,1630898857
Province of Mantua,IT,45.1667,10.7833,16.33,88,81,1.97,1630898858
Punta Arenas,CL,-53.15,-70.9167,5.06,81,0,2.57,1630898858
Makakilo City,US,21.3469,-158.0858,27.57,54,20,2.57,1630898859
Indianola,US,41.3581,-93.5574,20.78,76,60,3.11,1630898808
Geraldton,AU,-28.7667,114.6,25.23,20,0,9.77,1630898860
Hilo,US,19.7297,-155.09,23.26,86,90,2.57,1630898614
Hobart,AU,-42.8794,147.3294,14.23,50,20,2.24,1630898797
Hermanus,ZA,-34.4187,19.2345,8.83,62,98,2.27,1630898861
Cabo San Lucas,MX,22.8909,-109.9124,28.53,68,20,4.24,1630898630
Hithadhoo,MV,-0.6,73.0833,28.2,71,84,4.13,1630898861
Rawson,AR,-43.3002,-65.1023,12.16,76,75,2.06,1630898862
Cherskiy,RU,68.75,161.3,0.7,100,100,9.18,1630898862
Bethel,US,41.3712,-73.414,19.68,93,90,0.0,1630898862
Mahébourg,MU,-20.4081,57.7,21.16,73,20,7.2,1630898863
Aguçadoura,PT,41.4318,-8.7804,21.24,82,75,3.11,1630898863
Padang,ID,-0.9492,100.3543,28.03,80,99,0.2,1630898863
Kaitangata,NZ,-46.2817,169.8464,14.5,54,100,2.86,1630898864
Voh,NC,-20.9667,164.7,25.37,56,3,4.29,1630898864
Mar del Plata,AR,-38.0023,-57.5575,6.01,100,4,1.03,1630898626
Acapulco de Juárez,MX,16.8634,-99.8901,26.44,84,100,2.77,1630898678
Al Bardīyah,LY,31.7561,25.0865,24.11,80,0,2.64,1630898865
Algeciras,ES,36.1333,-5.4505,22.82,88,40,8.75,1630898865
Abu Kamal,SY,34.4506,40.9171,27.56,24,0,3.02,1630898866
Leningradskiy,RU,69.3833,178.4167,1.07,66,97,7.54,1630898866
Galesong,ID,-5.3166,119.3661,30.01,64,95,1.69,1630898866
Tiksi,RU,71.6872,128.8694,11.56,80,100,10.83,1630898867
Ishigaki,JP,24.3448,124.1572,31.07,74,75,3.6,1630898867
Mataura,NZ,-46.1927,168.8643,14.71,49,100,2.58,1630898867
Khilok,RU,51.3674,110.4676,11.53,47,85,2.05,1630898868
Khatanga,RU,71.9667,102.5,14.86,58,18,4.22,1630898868
Hofn,IS,64.2539,-15.2082,10.86,79,100,4.08,1630898868
Carnarvon,AU,-24.8667,113.6333,30.04,31,0,7.2,1630898869
Artyom,AZ,40.4723,50.333,22.08,59,0,5.35,1630898869
Norman Wells,CA,65.282,-126.8329,14.02,88,75,2.57,1630898870
Grand-Lahou,CI,5.1367,-5.0242,23.79,93,86,5.21,1630898870
Chui,UY,-33.6971,-53.4616,11.65,96,29,2.07,1630898870
Fort Nelson,CA,58.8053,-122.7002,12.77,94,75,1.03,1630898871
Nikolskoye,RU,59.7035,30.7861,7.94,94,92,2.43,1630898871
Borogontsy,RU,62.6683,131.1683,14.53,40,42,1.66,1630898871
Neira,CO,5.1665,-75.52,16.05,96,90,1.41,1630898872
Mossendjo,CG,-2.9506,12.7261,21.03,87,78,1.54,1630898872
Hearst,CA,49.6835,-83.6665,10.14,96,50,3.05,1630898873
Upata,VE,8.0086,-62.3989,23.44,94,66,1.58,1630898873
Theodoriana,GR,39.4356,21.21,14.82,79,99,3.0,1630898874
